ProblemNo,Connection,Cost
29,17001 : 7 -> 17 ; 17205 : 17 -> 19 ; 17001 : 19 -> 22 ; 17205 : 22 -> 23 ; 17001 : 23 -> 26 ; 17205 : 26 -> 33 ; 17231 : 7 -> 8 ; 17255 : 11 -> 14 ; 17231 : 11 -> 12 ; 17255 : 15 -> 16 ; 17231 : 13 -> 14 ; 17255 : 17 -> 18 ; 57652 : 30 -> 32,79020
30,11077 : 11 -> 12 ; 12293 : 3 -> 4 ; 12534 : 7 -> 8 ; 12155 : 1 -> 2 ; 12721 : 32 -> 33 ; 12183 : 2 -> 3 ; 12824 : 3 -> 4,26400
31,19410 : 11 -> 12 ; 19062 : 14 -> 15 ; 15107 : 21 -> 22 ; 12416 : 2 -> 3 ; 12195 : 4 -> 8 ; 12984 : 10 -> 11 ; 12403 : 16 -> 17 ; 12195 : 11 -> 12 ; 11204 : 1 -> 2 ; 14311 : 25 -> 26 ; 11204 : 3 -> 4 ; 08243 : 26 -> 27 ; 22478 : 4 -> 5 ; 12465 : 22 -> 23 ; 12461 : 15 -> 16 ; 08243 : 30 -> 31 ; 19224 : 44 -> 45,31080
32,54812 : 53 -> 54 ; 09807 : 2 -> 3 ; 12239 : 8 -> 9 ; 11204 : 1 -> 2 ; 14311 : 25 -> 26 ; 11204 : 3 -> 4 ; 09721 : 2 -> 3 ; 19610 : 16 -> 17 ; 09628 : 13 -> 14 ; 12958 : 5 -> 6 ; 16311 : 9 -> 10 ; 14804 : 6 -> 7 ; 12959 : 11 -> 13 ; 14321 : 36 -> 37 ; 12959 : 14 -> 17 ; 19115 : 25 -> 26 ; 14311 : 47 -> 49 ; 11092 : 23 -> 24,48600
33,22649 : 14 -> 16 ; 12675 : 9 -> 10 ; 16562 : 12 -> 13 ; 06544 : 7 -> 8 ; 12639 : 9 -> 10 ; 22601 : 5 -> 6 ; 12609 : 14 -> 15 ; 56214 : 24 -> 25 ; 16021 : 12 -> 13 ; 56214 : 26 -> 27 ; 18464 : 3 -> 4 ; 12213 : 2 -> 4 ; 19567 : 15 -> 16 ; 12975 : 8 -> 9 ; 11014 : 17 -> 18 ; 12213 : 6 -> 7 ; 57129 : 30 -> 31 ; 12702 : 7 -> 8 ; 12220 : 3 -> 4 ; 12629 : 8 -> 9 ; 12169 : 2 -> 3 ; 51033 : 20 -> 21,41520
34,11004 : 13 -> 14 ; 22116 : 5 -> 6 ; 12134 : 13 -> 14 ; 12620 : 20 -> 21 ; 12126 : 5 -> 6 ; 12071 : 2 -> 3 ; 12263 : 2 -> 3 ; 12298 : 3 -> 4 ; 11463 : 19 -> 20 ; 19309 : 10 -> 11 ; 11465 : 21 -> 22 ; 12909 : 5 -> 6 ; 12247 : 4 -> 5 ; 12263 : 6 -> 7 ; 14309 : 23 -> 24 ; 15707 : 39 -> 40 ; 11077 : 43 -> 44,50760
35,57257 : 85 -> 86 ; 17487 : 26 -> 28 ; 18504 : 23 -> 24 ; 17482 : 38 -> 39 ; 17239 : 23 -> 24 ; 57229 : 31 -> 32 ; 07723 : 18 -> 19 ; 57264 : 26 -> 27 ; 57271 : 47 -> 48 ; 18495 : 25 -> 26 ; 12829 : 15 -> 16 ; 22810 : 4 -> 5 ; 18412 : 9 -> 10 ; 18448 : 26 -> 27 ; 22810 : 7 -> 8 ; 17480 : 59 -> 60 ; 12509 : 16 -> 17 ; 12864 : 26 -> 27 ; 02509 : 7 -> 8 ; 08401 : 3 -> 4 ; 12281 : 2 -> 3 ; 18030 : 7 -> 8 ; 22891 : 3 -> 5 ; 12021 : 3 -> 4 ; 12819 : 9 -> 10 ; 12368 : 2 -> 3 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13147 : 15 -> 16 ; 06336 : 48 -> 49 ; 12041 : 7 -> 8 ; 12502 : 11 -> 13 ; 15643 : 23 -> 24 ; 13282 : 14 -> 15 ; 15631 : 31 -> 32 ; 12507 : 51 -> 52 ; 15617 : 4 -> 6 ; 15615 : 5 -> 8,81360
36,52456 : 2 -> 3 ; 52454 : 3 -> 4 ; 52456 : 4 -> 6 ; 52454 : 8 -> 9 ; 52458 : 9 -> 11 ; 52454 : 10 -> 11 ; 72452 : 2 -> 3 ; 12312 : 1 -> 3 ; 12006 : 2 -> 3 ; 22942 : 5 -> 6 ; 22462 : 8 -> 9 ; 12350 : 1 -> 2 ; 12582 : 2 -> 3 ; 22824 : 3 -> 4 ; 12314 : 3 -> 4 ; 12368 : 2 -> 3 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13164 : 14 -> 15 ; 12364 : 5 -> 6 ; 15228 : 7 -> 8 ; 15930 : 28 -> 29 ; 13012 : 4 -> 5,58500
37,53172 : 19 -> 21 ; 13104 : 12 -> 13 ; 53178 : 29 -> 31 ; 53172 : 30 -> 31 ; 53178 : 32 -> 33 ; 13105 : 2 -> 3 ; 13019 : 3 -> 4 ; 12273 : 2 -> 3 ; 12877 : 12 -> 13 ; 12942 : 13 -> 14 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 12825 : 9 -> 10 ; 12349 : 13 -> 14 ; 12501 : 18 -> 19 ; 12002 : 1 -> 2 ; 18507 : 39 -> 40,33600
38,25910 : 3 -> 4 ; 13225 : 9 -> 11 ; 12577 : 2 -> 3 ; 12502 : 8 -> 10 ; 13164 : 14 -> 15 ; 12364 : 5 -> 6 ; 15228 : 7 -> 8 ; 15930 : 28 -> 29 ; 13148 : 14 -> 15 ; 13012 : 7 -> 8 ; 12346 : 11 -> 12 ; 12042 : 6 -> 7 ; 22214 : 3 -> 4 ; 22201 : 4 -> 5 ; 12254 : 15 -> 16 ; 22853 : 10 -> 11 ; 18515 : 20 -> 21 ; 02510 : 13 -> 14 ; 18189 : 32 -> 33 ; 17015 : 16 -> 17,43200
39,54812 : 56 -> 58 ; 12952 : 2 -> 4 ; 12010 : 4 -> 5 ; 59442 : 32 -> 33 ; 16588 : 16 -> 17 ; 59439 : 36 -> 37,31500
40,12286 : 1 -> 3 ; 17205 : 26 -> 33 ; 17231 : 7 -> 15 ; 17255 : 18 -> 20,5
41,17231 : 15 -> 16 ; 17205 : 26 -> 33 ; 17231 : 7 -> 8,3
42,57652 : 7 -> 41 ; 17231 : 16 -> 23 ; 17001 : 14 -> 15,3
43,12286 : 1 -> 3 ; 17205 : 26 -> 28 ; 22816 : 15 -> 21,4
44,12219 : 3 -> 6 ; 17231 : 16 -> 23,2
45,17205 : 37 -> 40,1
46,17255 : 3 -> 10 ; 17208 : 1 -> 17 ; 17002 : 10 -> 20,3
47,17231 : 9 -> 24 ; 17001 : 10 -> 11,3
